time	HR1	HR2	Resp1	Resp2	Study	Group	Trial	Condition
418918.5	2.259021579419834	1.9170222268810113	0.7336302981758241	0.6101411981248804	4	404	2	MovementCoop
419918.5	2.378218804989133	2.1707759890054628	1.0522351620938688	0.4465837250586028	4	404	2	MovementCoop
420444	2.3503312668412684	2.4578862044221945	0.26304743862536806	-0.7015516782563092	4	404	2	MovementCoop
423204.5	0.5945974187085795	-0.49526826840321136	-0.8482207817846037	-0.9079441902486958	4	404	3	Synchronous
424204.5	0.17624194808777213	-0.22577523092496934	1.0546623691672818	0.3778141821449025	4	404	3	Synchronous
425204.5	0.39522625687186075	-0.7720554828599004	2.473620361526952	0.9695956070770783	4	404	3	Synchronous
426204.5	1.9879873107157768	-1.1095652474349234	-1.5109418976600988	0.6218953758954667	4	404	3	Synchronous
427204.5	1.9879873107157768	-1.7620831439065658	-1.094108216997511	-0.27107586950054097	4	404	3	Synchronous
428204.5	-2.4266145609760637	-1.216740545104929	0.42284620509279347	0.8878255989607331	4	404	3	Synchronous
429204.5	-0.24782150181039042	0.19943881292947072	0.24505239686727393	0.008062127489526682	4	404	3	Synchronous
430204.5	-0.0327169617926241	-0.03062036110092895	-0.17443704886798514	-0.4318219161016481	4	404	3	Synchronous
431204.5	-0.07380793060581708	-0.19891168847025548	-0.1777141379896424	-1.6840091648886861	4	404	3	Synchronous
432204.5	0.055792863032471676	-0.22841603501532426	0.5021461726544266	-0.7429856285570698	4	404	3	Synchronous
433204.5	0.515198107822307	0.6699139076957266	-0.18713849575360225	-1.0724633977543856	4	404	3	Synchronous
434204.5	0.6388901340296078	0.713131893313915	-1.8138098297803156	-1.9514641565424486	4	404	3	Synchronous
435204.5	1.047916239291272	0.10579196579623724	-1.8936415958107755	-2.152074542848815	4	404	3	Synchronous
436204.5	-1.3848234212336157	-0.12151815055087041	0.3249573381578362	0.5962674507967931	4	404	3	Synchronous
437204.5	1.2856387342560565	-0.5439470327384607	0.18191783205697645	0.07974250193605698	4	404	3	Synchronous
438204.5	1.5950228412729046	-1.8613136782941342	-1.4965896568462822	-0.6340594709711074	4	404	3	Synchronous
439204.5	1.3044551061311211	-2.3348972365627523	-2.064390442794424	-1.6595041362820564	4	404	3	Synchronous
440204.5	0.8004329846872573	-2.1443816119102603	-0.8712094149925077	-0.9887344998511137	4	404	3	Synchronous
441204.5	-1.1924869666304905	-0.9182811876194825	0.508501098087886	0.14565811331167652	4	404	3	Synchronous
442204.5	1.2404302212299407	-0.4381040615435479	0.11080266473436973	0.4528138120868706	4	404	3	Synchronous
443204.5	0.4523609801693451	0.13571349231509575	-0.24150128918389502	-0.21680458780763376	4	404	3	Synchronous
444204.5	-0.12258964059638071	-0.12824767242126847	-1.2853828967987957	-0.18858571433162288	4	404	3	Synchronous
445204.5	-0.18290546109899194	0.30282576006625006	-0.2999660397364824	0.20204861582494377	4	404	3	Synchronous
446204.5	-2.2151040820934047	0.460500882253463	0.6092720432496879	0.4679153122709191	4	404	3	Synchronous
447204.5	0.5836165909891574	0.7815757478051041	0.9634932222657328	0.7047173287075768	4	404	3	Synchronous
448204.5	0.7492890514140916	0.0823124715071625	0.9056832096114082	0.2732452373231272	4	404	3	Synchronous
449204.5	0.5144778123217136	-0.5416097083073004	0.3740329040450088	-0.4106496600407065	4	404	3	Synchronous
450204.5	0.3839613020285776	-0.6360964593726548	0.2732876284696577	-0.46907795585564455	4	404	3	Synchronous
451204.5	0.21020266979222774	0.02367345519693288	-0.10328128805719614	0.5297502782221069	4	404	3	Synchronous
452204.5	-0.09052826488629162	0.06114188143374524	-0.36390771958267343	-0.017166264056026656	4	404	3	Synchronous
453204.5	-0.05376272071546372	-0.2169718892361562	0.13149508538220506	-0.8825058176716829	4	404	3	Synchronous
454204.5	0.09327310179170578	-0.6658348593283673	0.8537483049828648	-0.7455790298483206	4	404	3	Synchronous
455204.5	0.40698780860227074	-0.5786969612909929	1.139155486040053	0.4651505508471942	4	404	3	Synchronous
456204.5	0.14610668839318028	-0.9592589366200507	0.62439400910903875	-0.3959789262169094	4	404	3	Synchronous
457204.5	-0.5478480080736559	-1.4978184800584287	0.3671757307757012	-1.518165568620192	4	404	3	Synchronous
458204.5	-1.2589428473319486	-1.3590239905393156	0.3523574077739996	-0.09591542578273231	4	404	3	Synchronous
459204.5	-1.0748793813548325	-0.32711635050213955	-1.3526996844792505	0.5902616889827119	4	404	3	Synchronous
460204.5	-0.2949399488036148	-0.3799211887195331	-1.1243280719635587	0.31651685905322186	4	404	3	Synchronous
461204.5	-0.05278905866051034	-0.40585209680590956	-1.0911883981191353	-0.2869350474326014	4	404	3	Synchronous
